condition,persona_id,risk_tier,top1_doc_hit,hit_at_5,hit_at_10,multi_doc_at_10,target_docs_at_10,target_doc_recall_at_10,first_target_rank,mrr,top_doc_persona
c1b_presidio_redaction,P0093,T1,0,0,0,0,0,0.0,56,0.017857142857142856,P0044
c1b_presidio_redaction,P0094,T2,0,0,0,0,0,0.0,39,0.02564102564102564,P0065
c1b_presidio_redaction,P0096,T1,0,0,0,0,0,0.0,67,0.014925373134328358,P0026
c1b_presidio_redaction,P0097,T2,0,0,0,0,0,0.0,55,0.01818181818181818,P0119
c1b_presidio_redaction,P0098,T3,1,1,1,1,4,1.0,1,1.0,P0098
c1b_presidio_redaction,P0099,T1,0,0,0,0,0,0.0,44,0.022727272727272728,P0017
c1b_presidio_redaction,P0101,T3,1,1,1,1,4,1.0,1,1.0,P0101
c1b_presidio_redaction,P0102,T1,0,0,0,0,0,0.0,52,0.019230769230769232,P0110
c1b_presidio_redaction,P0103,T2,0,0,0,0,0,0.0,42,0.023809523809523808,P0038
c1b_presidio_redaction,P0104,T3,1,1,1,1,4,1.0,1,1.0,P0104
c1b_presidio_redaction,P0106,T2,0,0,0,0,0,0.0,12,0.08333333333333333,P0098
c1b_presidio_redaction,P0107,T3,1,1,1,1,4,1.0,1,1.0,P0107
c1b_presidio_redaction,P0108,T1,0,0,0,0,0,0.0,81,0.012345679012345678,P0014
c1b_presidio_redaction,P0109,T2,0,0,0,0,0,0.0,68,0.014705882352941176,P0119
c1b_presidio_redaction,P0111,T1,0,0,0,0,0,0.0,55,0.01818181818181818,P0116
c1b_presidio_redaction,P0112,T2,0,0,0,0,0,0.0,24,0.041666666666666664,P0086
c1b_presidio_redaction,P0113,T3,1,1,1,1,4,1.0,1,1.0,P0113
c1b_presidio_redaction,P0114,T1,0,0,0,0,0,0.0,60,0.016666666666666666,P0104
c1b_presidio_redaction,P0116,T3,1,1,1,1,4,1.0,1,1.0,P0116
c1b_presidio_redaction,P0117,T1,0,0,0,0,0,0.0,40,0.025,P0005
c1b_presidio_redaction,P0118,T2,0,0,0,0,0,0.0,46,0.021739130434782608,P0095
c1b_presidio_redaction,P0119,T3,1,1,1,1,4,1.0,1,1.0,P0119
c2_consistent_pseudonym,P0001,T2,0,0,0,0,0,0.0,79,0.012658227848101266,P0008
c2_consistent_pseudonym,P0002,T3,1,1,1,1,4,1.0,1,1.0,P0002
c2_consistent_pseudonym,P0003,T1,0,0,0,0,0,0.0,65,0.015384615384615385,P0032
c2_consistent_pseudonym,P0004,T2,0,0,0,0,0,0.0,49,0.02040816326530612,P0056
c2_consistent_pseudonym,P0006,T1,0,0,0,0,0,0.0,51,0.0196078431372549,P0026
c2_consistent_pseudonym,P0007,T2,0,0,0,0,0,0.0,46,0.021739130434782608,P0089
c2_consistent_pseudonym,P0008,T3,1,1,1,1,3,0.75,1,1.0,P0008
c2_consistent_pseudonym,P0009,T1,0,0,0,0,0,0.0,77,0.012987012987012988,P0086
c2_consistent_pseudonym,P0011,T3,1,1,1,1,3,0.75,1,1.0,P0011
c2_consistent_pseudonym,P0012,T1,0,0,0,0,0,0.0,52,0.019230769230769232,P0020
c2_consistent_pseudonym,P0013,T2,0,0,0,0,0,0.0,41,0.024390243902439025,P0107
c2_consistent_pseudonym,P0014,T3,1,1,1,1,4,1.0,1,1.0,P0014
c2_consistent_pseudonym,P0016,T2,0,0,0,0,0,0.0,42,0.023809523809523808,P0053
c2_consistent_pseudonym,P0017,T3,1,1,1,1,4,1.0,1,1.0,P0017
c2_consistent_pseudonym,P0018,T1,0,0,0,0,0,0.0,53,0.018867924528301886,P0059
c2_consistent_pseudonym,P0019,T2,0,0,0,0,0,0.0,43,0.023255813953488372,P0110
c2_consistent_pseudonym,P0021,T1,0,0,0,0,0,0.0,49,0.02040816326530612,P0029
c2_consistent_pseudonym,P0022,T2,0,0,0,0,0,0.0,66,0.015151515151515152,P0107
c2_consistent_pseudonym,P0023,T3,1,1,1,1,4,1.0,1,1.0,P0023
c2_consistent_pseudonym,P0024,T1,0,0,0,0,0,0.0,46,0.021739130434782608,P0065
c2_consistent_pseudonym,P0026,T3,1,1,1,1,4,1.0,1,1.0,P0026
c2_consistent_pseudonym,P0027,T1,0,0,0,0,0,0.0,50,0.02,P0044
c2_consistent_pseudonym,P0028,T2,0,0,0,0,0,0.0,71,0.014084507042253521,P0101
c2_consistent_pseudonym,P0029,T3,1,1,1,1,3,0.75,1,1.0,P0029
c2_consistent_pseudonym,P0031,T2,0,0,0,0,0,0.0,59,0.01694915254237288,P0047
c2_consistent_pseudonym,P0032,T3,1,1,1,1,3,0.75,1,1.0,P0032
c2_consistent_pseudonym,P0033,T1,0,0,0,0,0,0.0,75,0.013333333333333334,P0056
c2_consistent_pseudonym,P0034,T2,0,0,0,0,0,0.0,54,0.018518518518518517,P0113
c2_consistent_pseudonym,P0036,T1,0,0,0,0,0,0.0,67,0.014925373134328358,P0083
c2_consistent_pseudonym,P0037,T2,0,0,0,0,0,0.0,29,0.034482758620689655,P0014
c2_consistent_pseudonym,P0038,T3,1,1,1,1,4,1.0,1,1.0,P0038
c2_consistent_pseudonym,P0039,T1,0,0,0,0,0,0.0,45,0.022222222222222223,P0101
c2_consistent_pseudonym,P0041,T3,1,1,1,1,4,1.0,1,1.0,P0041
c2_consistent_pseudonym,P0042,T1,0,0,0,0,0,0.0,36,0.027777777777777776,P0020
c2_consistent_pseudonym,P0043,T2,0,0,0,0,0,0.0,40,0.025,P0074
c2_consistent_pseudonym,P0044,T3,1,1,1,1,3,0.75,1,1.0,P0044
c2_consistent_pseudonym,P0046,T2,0,0,0,0,0,0.0,54,0.018518518518518517,P0107
c2_consistent_pseudonym,P0047,T3,1,1,1,1,2,0.5,1,1.0,P0047
c2_consistent_pseudonym,P0048,T1,0,0,0,0,0,0.0,27,0.037037037037037035,P0092
c2_consistent_pseudonym,P0049,T2,0,0,0,0,0,0.0,78,0.01282051282051282,P0092
c2_consistent_pseudonym,P0051,T1,0,0,0,0,0,0.0,96,0.010416666666666666,P0011
c2_consistent_pseudonym,P0052,T2,0,0,0,0,0,0.0,43,0.023255813953488372,P0107
c2_consistent_pseudonym,P0053,T3,1,1,1,1,3,0.75,1,1.0,P0053
c2_consistent_pseudonym,P0054,T1,0,0,0,0,0,0.0,56,0.017857142857142856,P0014
c2_consistent_pseudonym,P0056,T3,1,1,1,1,3,0.75,1,1.0,P0056
c2_consistent_pseudonym,P0057,T1,0,0,0,0,0,0.0,52,0.019230769230769232,P0101
c2_consistent_pseudonym,P0058,T2,0,0,0,0,0,0.0,32,0.03125,P0065
c2_consistent_pseudonym,P0059,T3,1,1,1,1,4,1.0,1,1.0,P0059
c2_consistent_pseudonym,P0061,T2,0,0,0,0,0,0.0,31,0.03225806451612903,P0053
c2_consistent_pseudonym,P0062,T3,1,1,1,1,4,1.0,1,1.0,P0062
c2_consistent_pseudonym,P0063,T1,0,0,0,0,0,0.0,61,0.01639344262295082,P0104
c2_consistent_pseudonym,P0064,T2,0,0,0,0,0,0.0,52,0.019230769230769232,P0002
c2_consistent_pseudonym,P0066,T1,0,0,0,0,0,0.0,72,0.013888888888888888,P0026
c2_consistent_pseudonym,P0067,T2,0,0,0,0,0,0.0,48,0.020833333333333332,P0002
c2_consistent_pseudonym,P0068,T3,1,1,1,1,3,0.75,1,1.0,P0068
c2_consistent_pseudonym,P0069,T1,0,0,0,0,0,0.0,46,0.021739130434782608,P0017
c2_consistent_pseudonym,P0071,T3,1,1,1,1,4,1.0,1,1.0,P0071
c2_consistent_pseudonym,P0072,T1,0,0,0,0,0,0.0,59,0.01694915254237288,P0053
c2_consistent_pseudonym,P0073,T2,0,0,0,0,0,0.0,58,0.017241379310344827,P0062
c2_consistent_pseudonym,P0074,T3,1,1,1,1,4,1.0,1,1.0,P0074
c2_consistent_pseudonym,P0076,T2,0,0,0,0,0,0.0,49,0.02040816326530612,P0035
c2_consistent_pseudonym,P0077,T3,1,1,1,1,4,1.0,1,1.0,P0077
c2_consistent_pseudonym,P0078,T1,0,0,0,0,0,0.0,54,0.018518518518518517,P0086
c2_consistent_pseudonym,P0079,T2,0,0,0,0,0,0.0,42,0.023809523809523808,P0089
c2_consistent_pseudonym,P0081,T1,0,0,0,0,0,0.0,45,0.022222222222222223,P0053
c2_consistent_pseudonym,P0082,T2,0,0,0,0,0,0.0,65,0.015384615384615385,P0017
c2_consistent_pseudonym,P0083,T3,1,1,1,1,4,1.0,1,1.0,P0083
c2_consistent_pseudonym,P0084,T1,0,0,0,0,0,0.0,40,0.025,P0011
c2_consistent_pseudonym,P0086,T3,1,1,1,1,4,1.0,1,1.0,P0086
c2_consistent_pseudonym,P0087,T1,0,0,0,0,0,0.0,59,0.01694915254237288,P0074
c2_consistent_pseudonym,P0088,T2,0,0,0,0,0,0.0,51,0.0196078431372549,P0065
c2_consistent_pseudonym,P0089,T3,1,1,1,1,4,1.0,1,1.0,P0089
c2_consistent_pseudonym,P0091,T2,0,0,0,0,0,0.0,42,0.023809523809523808,P0011
c2_consistent_pseudonym,P0092,T3,1,1,1,1,4,1.0,1,1.0,P0092
c2_consistent_pseudonym,P0093,T1,0,0,0,0,0,0.0,52,0.019230769230769232,P0044
c2_consistent_pseudonym,P0094,T2,0,0,0,0,0,0.0,49,0.02040816326530612,P0065
c2_consistent_pseudonym,P0096,T1,0,0,0,0,0,0.0,59,0.01694915254237288,P0083
c2_consistent_pseudonym,P0097,T2,0,0,0,0,0,0.0,61,0.01639344262295082,P0119
c2_consistent_pseudonym,P0098,T3,1,1,1,1,3,0.75,1,1.0,P0098
c2_consistent_pseudonym,P0099,T1,0,0,0,0,0,0.0,38,0.02631578947368421,P0071
c2_consistent_pseudonym,P0101,T3,1,1,1,1,4,1.0,1,1.0,P0101
c2_consistent_pseudonym,P0102,T1,0,0,0,0,0,0.0,51,0.0196078431372549,P0110
c2_consistent_pseudonym,P0103,T2,0,0,0,0,0,0.0,65,0.015384615384615385,P0038
c2_consistent_pseudonym,P0104,T3,1,1,1,1,3,0.75,1,1.0,P0104
c2_consistent_pseudonym,P0106,T2,0,0,0,0,0,0.0,46,0.021739130434782608,P0098
c2_consistent_pseudonym,P0107,T3,1,1,1,1,4,1.0,1,1.0,P0107
c2_consistent_pseudonym,P0108,T1,0,0,0,0,0,0.0,74,0.013513513513513514,P0014
c2_consistent_pseudonym,P0109,T2,0,0,0,0,0,0.0,55,0.01818181818181818,P0056
c2_consistent_pseudonym,P0111,T1,0,0,0,0,0,0.0,38,0.02631578947368421,P0116
c2_consistent_pseudonym,P0112,T2,0,0,0,0,0,0.0,36,0.027777777777777776,P0086
c2_consistent_pseudonym,P0113,T3,1,1,1,1,4,1.0,1,1.0,P0113
c2_consistent_pseudonym,P0114,T1,0,0,0,0,0,0.0,56,0.017857142857142856,P0086
c2_consistent_pseudonym,P0116,T3,1,1,1,1,4,1.0,1,1.0,P0116
c2_consistent_pseudonym,P0117,T1,0,0,0,0,0,0.0,78,0.01282051282051282,P0050
c2_consistent_pseudonym,P0118,T2,0,0,0,0,0,0.0,61,0.01639344262295082,P0095
c2_consistent_pseudonym,P0119,T3,1,1,1,1,4,1.0,1,1.0,P0119
c3_per_doc_pseudonym,P0001,T2,0,0,0,0,0,0.0,79,0.012658227848101266,P0008
c3_per_doc_pseudonym,P0002,T3,1,1,1,1,4,1.0,1,1.0,P0002
c3_per_doc_pseudonym,P0003,T1,0,0,0,0,0,0.0,65,0.015384615384615385,P0032
c3_per_doc_pseudonym,P0004,T2,0,0,0,0,0,0.0,49,0.02040816326530612,P0056
c3_per_doc_pseudonym,P0006,T1,0,0,0,0,0,0.0,53,0.018867924528301886,P0026
c3_per_doc_pseudonym,P0007,T2,0,0,0,0,0,0.0,46,0.021739130434782608,P0089
c3_per_doc_pseudonym,P0008,T3,1,1,1,1,3,0.75,1,1.0,P0008
c3_per_doc_pseudonym,P0009,T1,0,0,0,0,0,0.0,78,0.01282051282051282,P0086
c3_per_doc_pseudonym,P0011,T3,1,1,1,1,3,0.75,1,1.0,P0011
c3_per_doc_pseudonym,P0012,T1,0,0,0,0,0,0.0,52,0.019230769230769232,P0020
c3_per_doc_pseudonym,P0013,T2,0,0,0,0,0,0.0,41,0.024390243902439025,P0107
c3_per_doc_pseudonym,P0014,T3,1,1,1,1,4,1.0,1,1.0,P0014
c3_per_doc_pseudonym,P0016,T2,0,0,0,0,0,0.0,42,0.023809523809523808,P0053
c3_per_doc_pseudonym,P0017,T3,1,1,1,1,4,1.0,1,1.0,P0017
c3_per_doc_pseudonym,P0018,T1,0,0,0,0,0,0.0,54,0.018518518518518517,P0059
c3_per_doc_pseudonym,P0019,T2,0,0,0,0,0,0.0,43,0.023255813953488372,P0110
c3_per_doc_pseudonym,P0021,T1,0,0,0,0,0,0.0,49,0.02040816326530612,P0029
c3_per_doc_pseudonym,P0022,T2,0,0,0,0,0,0.0,66,0.015151515151515152,P0107
c3_per_doc_pseudonym,P0023,T3,1,1,1,1,4,1.0,1,1.0,P0023
c3_per_doc_pseudonym,P0024,T1,0,0,0,0,0,0.0,48,0.020833333333333332,P0065
c3_per_doc_pseudonym,P0026,T3,1,1,1,1,4,1.0,1,1.0,P0026
c3_per_doc_pseudonym,P0027,T1,0,0,0,0,0,0.0,51,0.0196078431372549,P0044
c3_per_doc_pseudonym,P0028,T2,0,0,0,0,0,0.0,71,0.014084507042253521,P0101
c3_per_doc_pseudonym,P0029,T3,1,1,1,1,3,0.75,1,1.0,P0029
c3_per_doc_pseudonym,P0031,T2,0,0,0,0,0,0.0,59,0.01694915254237288,P0047
c3_per_doc_pseudonym,P0032,T3,1,1,1,1,3,0.75,1,1.0,P0032
c3_per_doc_pseudonym,P0033,T1,0,0,0,0,0,0.0,76,0.013157894736842105,P0056
c3_per_doc_pseudonym,P0034,T2,0,0,0,0,0,0.0,54,0.018518518518518517,P0113
c3_per_doc_pseudonym,P0036,T1,0,0,0,0,0,0.0,67,0.014925373134328358,P0083
c3_per_doc_pseudonym,P0037,T2,0,0,0,0,0,0.0,29,0.034482758620689655,P0014
c3_per_doc_pseudonym,P0038,T3,1,1,1,1,4,1.0,1,1.0,P0038
c3_per_doc_pseudonym,P0039,T1,0,0,0,0,0,0.0,45,0.022222222222222223,P0101
c3_per_doc_pseudonym,P0041,T3,1,1,1,1,4,1.0,1,1.0,P0041
c3_per_doc_pseudonym,P0042,T1,0,0,0,0,0,0.0,38,0.02631578947368421,P0020
c3_per_doc_pseudonym,P0043,T2,0,0,0,0,0,0.0,40,0.025,P0074
c3_per_doc_pseudonym,P0044,T3,1,1,1,1,3,0.75,1,1.0,P0044
c3_per_doc_pseudonym,P0046,T2,0,0,0,0,0,0.0,54,0.018518518518518517,P0107
c3_per_doc_pseudonym,P0047,T3,1,1,1,1,2,0.5,1,1.0,P0047
c3_per_doc_pseudonym,P0048,T1,0,0,0,0,0,0.0,26,0.038461538461538464,P0092
c3_per_doc_pseudonym,P0049,T2,0,0,0,0,0,0.0,78,0.01282051282051282,P0092
c3_per_doc_pseudonym,P0051,T1,0,0,0,0,0,0.0,96,0.010416666666666666,P0011
c3_per_doc_pseudonym,P0052,T2,0,0,0,0,0,0.0,43,0.023255813953488372,P0107
c3_per_doc_pseudonym,P0053,T3,1,1,1,1,3,0.75,1,1.0,P0053
c3_per_doc_pseudonym,P0054,T1,0,0,0,0,0,0.0,56,0.017857142857142856,P0014
c3_per_doc_pseudonym,P0056,T3,1,1,1,1,3,0.75,1,1.0,P0056
c3_per_doc_pseudonym,P0057,T1,0,0,0,0,0,0.0,52,0.019230769230769232,P0101
c3_per_doc_pseudonym,P0058,T2,0,0,0,0,0,0.0,32,0.03125,P0065
c3_per_doc_pseudonym,P0059,T3,1,1,1,1,4,1.0,1,1.0,P0059
c3_per_doc_pseudonym,P0061,T2,0,0,0,0,0,0.0,32,0.03125,P0053
c3_per_doc_pseudonym,P0062,T3,1,1,1,1,4,1.0,1,1.0,P0062
c3_per_doc_pseudonym,P0063,T1,0,0,0,0,0,0.0,61,0.01639344262295082,P0104
c3_per_doc_pseudonym,P0064,T2,0,0,0,0,0,0.0,51,0.0196078431372549,P0002
c3_per_doc_pseudonym,P0066,T1,0,0,0,0,0,0.0,73,0.0136986301369863,P0026
c3_per_doc_pseudonym,P0067,T2,0,0,0,0,0,0.0,48,0.020833333333333332,P0002
c3_per_doc_pseudonym,P0068,T3,1,1,1,1,3,0.75,1,1.0,P0068
c3_per_doc_pseudonym,P0069,T1,0,0,0,0,0,0.0,48,0.020833333333333332,P0017
c3_per_doc_pseudonym,P0071,T3,1,1,1,1,4,1.0,1,1.0,P0071
c3_per_doc_pseudonym,P0072,T1,0,0,0,0,0,0.0,60,0.016666666666666666,P0053
c3_per_doc_pseudonym,P0073,T2,0,0,0,0,0,0.0,59,0.01694915254237288,P0062
c3_per_doc_pseudonym,P0074,T3,1,1,1,1,4,1.0,1,1.0,P0074
c3_per_doc_pseudonym,P0076,T2,0,0,0,0,0,0.0,49,0.02040816326530612,P0035
c3_per_doc_pseudonym,P0077,T3,1,1,1,1,4,1.0,1,1.0,P0077
c3_per_doc_pseudonym,P0078,T1,0,0,0,0,0,0.0,55,0.01818181818181818,P0086
c3_per_doc_pseudonym,P0079,T2,0,0,0,0,0,0.0,42,0.023809523809523808,P0089
c3_per_doc_pseudonym,P0081,T1,0,0,0,0,0,0.0,45,0.022222222222222223,P0053
c3_per_doc_pseudonym,P0082,T2,0,0,0,0,0,0.0,66,0.015151515151515152,P0017
c3_per_doc_pseudonym,P0083,T3,1,1,1,1,4,1.0,1,1.0,P0083
c3_per_doc_pseudonym,P0084,T1,0,0,0,0,0,0.0,40,0.025,P0011
c3_per_doc_pseudonym,P0086,T3,1,1,1,1,4,1.0,1,1.0,P0086
c3_per_doc_pseudonym,P0087,T1,0,0,0,0,0,0.0,59,0.01694915254237288,P0074
c3_per_doc_pseudonym,P0088,T2,0,0,0,0,0,0.0,52,0.019230769230769232,P0065
c3_per_doc_pseudonym,P0089,T3,1,1,1,1,4,1.0,1,1.0,P0089
c3_per_doc_pseudonym,P0091,T2,0,0,0,0,0,0.0,43,0.023255813953488372,P0011
c3_per_doc_pseudonym,P0092,T3,1,1,1,1,4,1.0,1,1.0,P0092
c3_per_doc_pseudonym,P0093,T1,0,0,0,0,0,0.0,53,0.018867924528301886,P0044
c3_per_doc_pseudonym,P0094,T2,0,0,0,0,0,0.0,49,0.02040816326530612,P0065
c3_per_doc_pseudonym,P0096,T1,0,0,0,0,0,0.0,59,0.01694915254237288,P0083
c3_per_doc_pseudonym,P0097,T2,0,0,0,0,0,0.0,61,0.01639344262295082,P0119
c3_per_doc_pseudonym,P0098,T3,1,1,1,1,3,0.75,1,1.0,P0098
c3_per_doc_pseudonym,P0099,T1,0,0,0,0,0,0.0,38,0.02631578947368421,P0071
c3_per_doc_pseudonym,P0101,T3,1,1,1,1,4,1.0,1,1.0,P0101
c3_per_doc_pseudonym,P0102,T1,0,0,0,0,0,0.0,51,0.0196078431372549,P0110
c3_per_doc_pseudonym,P0103,T2,0,0,0,0,0,0.0,65,0.015384615384615385,P0038
c3_per_doc_pseudonym,P0104,T3,1,1,1,1,3,0.75,1,1.0,P0104
c3_per_doc_pseudonym,P0106,T2,0,0,0,0,0,0.0,46,0.021739130434782608,P0098
c3_per_doc_pseudonym,P0107,T3,1,1,1,1,4,1.0,1,1.0,P0107
c3_per_doc_pseudonym,P0108,T1,0,0,0,0,0,0.0,77,0.012987012987012988,P0014
c3_per_doc_pseudonym,P0109,T2,0,0,0,0,0,0.0,56,0.017857142857142856,P0056
c3_per_doc_pseudonym,P0111,T1,0,0,0,0,0,0.0,38,0.02631578947368421,P0116
c3_per_doc_pseudonym,P0112,T2,0,0,0,0,0,0.0,36,0.027777777777777776,P0086
c3_per_doc_pseudonym,P0113,T3,1,1,1,1,4,1.0,1,1.0,P0113
c3_per_doc_pseudonym,P0114,T1,0,0,0,0,0,0.0,56,0.017857142857142856,P0086
c3_per_doc_pseudonym,P0116,T3,1,1,1,1,4,1.0,1,1.0,P0116
c3_per_doc_pseudonym,P0117,T1,0,0,0,0,0,0.0,78,0.01282051282051282,P0050
c3_per_doc_pseudonym,P0118,T2,0,0,0,0,0,0.0,62,0.016129032258064516,P0095
c3_per_doc_pseudonym,P0119,T3,1,1,1,1,4,1.0,1,1.0,P0119
c4_doc_local_anon,P0001,T2,0,0,0,0,0,0.0,59,0.01694915254237288,P0008
c4_doc_local_anon,P0002,T3,1,1,1,1,4,1.0,1,1.0,P0002
c4_doc_local_anon,P0003,T1,0,0,0,0,0,0.0,78,0.01282051282051282,P0032
c4_doc_local_anon,P0004,T2,0,0,0,0,0,0.0,13,0.07692307692307693,P0050
c4_doc_local_anon,P0006,T1,0,0,0,0,0,0.0,51,0.0196078431372549,P0026
c4_doc_local_anon,P0007,T2,0,0,0,0,0,0.0,34,0.029411764705882353,P0089
c4_doc_local_anon,P0008,T3,1,1,1,1,4,1.0,1,1.0,P0008
c4_doc_local_anon,P0009,T1,0,0,0,0,0,0.0,79,0.012658227848101266,P0104
c4_doc_local_anon,P0011,T3,1,1,1,1,4,1.0,1,1.0,P0011
c4_doc_local_anon,P0012,T1,0,0,0,0,0,0.0,63,0.015873015873015872,P0020
c4_doc_local_anon,P0013,T2,0,0,0,0,0,0.0,23,0.043478260869565216,P0107
c4_doc_local_anon,P0014,T3,1,1,1,1,4,1.0,1,1.0,P0014
c4_doc_local_anon,P0016,T2,0,0,1,0,1,0.25,7,0.14285714285714285,P0053
c4_doc_local_anon,P0017,T3,1,1,1,1,4,1.0,1,1.0,P0017
c4_doc_local_anon,P0018,T1,0,0,0,0,0,0.0,51,0.0196078431372549,P0059
c4_doc_local_anon,P0019,T2,0,0,0,0,0,0.0,17,0.058823529411764705,P0110
c4_doc_local_anon,P0021,T1,0,0,0,0,0,0.0,53,0.018867924528301886,P0029
c4_doc_local_anon,P0022,T2,0,0,0,0,0,0.0,19,0.05263157894736842,P0113
c4_doc_local_anon,P0023,T3,1,1,1,1,4,1.0,1,1.0,P0023
c4_doc_local_anon,P0024,T1,0,0,0,0,0,0.0,53,0.018867924528301886,P0065
c4_doc_local_anon,P0026,T3,1,1,1,1,4,1.0,1,1.0,P0026
c4_doc_local_anon,P0027,T1,0,0,0,0,0,0.0,55,0.01818181818181818,P0116
c4_doc_local_anon,P0028,T2,0,0,0,0,0,0.0,42,0.023809523809523808,P0101
c4_doc_local_anon,P0029,T3,1,1,1,1,4,1.0,1,1.0,P0029
c4_doc_local_anon,P0031,T2,0,0,0,0,0,0.0,39,0.02564102564102564,P0047
c4_doc_local_anon,P0032,T3,1,1,1,1,3,0.75,1,1.0,P0032
c4_doc_local_anon,P0033,T1,0,0,0,0,0,0.0,76,0.013157894736842105,P0056
c4_doc_local_anon,P0034,T2,0,0,0,0,0,0.0,19,0.05263157894736842,P0113
c4_doc_local_anon,P0036,T1,0,0,0,0,0,0.0,67,0.014925373134328358,P0083
c4_doc_local_anon,P0037,T2,0,0,0,0,0,0.0,19,0.05263157894736842,P0014
c4_doc_local_anon,P0038,T3,1,1,1,1,4,1.0,1,1.0,P0038
c4_doc_local_anon,P0039,T1,0,0,0,0,0,0.0,47,0.02127659574468085,P0101
c4_doc_local_anon,P0041,T3,1,1,1,1,4,1.0,1,1.0,P0041
